additions,assignees,AssignmentId,c_num,changed_files,CI_latency,CI_result,closer,collaborator_status,comments,commits,commits_on_files_touched,contributors_url,cores,deletions,experience,F_API_merged,F_Q1_core_s,F_Q1_other_s,F_Q1_support,F_Q2_a_core,F_Q2_a_other,F_Q2_alternate,F_Q3_dis_s,F_Q3_dis_s_bug,F_Q3_dis_s_constc,F_Q3_dis_s_improve,F_Q4_dis_p,F_Q4_dis_p_nf,F_Q4_dis_p_nv,F_Q5_implemented,F_Q5_merged,first_response,forks,HIT_ID,is_org,lables,mergeable_state,merged,milestones,num_comments,num_commits,open_issues,p_num,P1_Submitter,P2_Cores,P3_External,participants,perc_external_contribs,pr_link,prev_pullreqs,project_maturity,Q1_Support?,Q2_Alternate S?,Q3_Dis_Solution?,Q4_Dis_Problem?,Q5_Outcome?,requester_succ_rate,sloc,social_distance,src_churn,stars,submitter,submitter_status,team_size,watchers,WorkerId
620,0,3WOKGM4L724WIDE8XOTN56W1XIYO0P,17,9,,0,mikeal,TRUE,17,13,7,https://github.com/nodejs/TSC/graphs/contributors,"mikeal, williamkapke",35,2877,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,220,26,1325,0,0,clean,FALSE,0,17,13,61,8,mikeal,"mikeal, williamkapke, jasnell","RichardLitt, dscape, diasdavid, iancrowther, PatrickHeneise, dshaw, TheAlphaNerd, bevacqua, Fishrock123, cianomaidin, jeanleonino, gergelyke, georgewills",19,0.69,https://github.com/nodejs/TSC/pull/28,4,26,"Y,core|Y,others","Y,core",N,N,"Rej, not sure.",0.75,0,0,655,46,mikeal,1,1,46,ABFSVRWVFHZ6P
12,0,3VA45EW49OBWP2ZQT7XNJBFB18H1OD,21,1,1015,0,stuartwdouglas,FALSE,21,1,0,https://github.com/wildfly/wildfly/graphs/contributors,"bstansberry, stuartwdouglas, kabir",5,1754,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,295,1654,1403,0,1,clean,FALSE,0,21,1,86,4,gaohoward,"bstansberry, stuartwdouglas, kabir, ctomc, dmlloyd, emuckenhuber, darranl, pferraro, jaikiran,tdiesler, jmesnil, jamezp, n1hility, scottmarlow, rhusar, wolfc","howadgao, stuartwdouglas, wildfly-ci",6,0.07,https://github.com/wildfly/wildfly/pull/8556,3,1654,N,"Y,core","Y,bug|Y,inconsistency",N,"Rej, not sure.",0,32048,0,17,1718,gaohoward,0,25,1718,AMZVZJL54O491
62,1,31Z0PCVWUL3QDGJ0E40VEVCBD0DT79,15,3,129,0,jza70,FALSE,15,1,0,https://github.com/netty/netty/graphs/contributors,"trustin, normanmaurer, Scottmitch",7,1865,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,19,4176,1272,0,0,clean,FALSE,1,15,1,343,4,jza70,"trustin, normanmaurer, Scottmitch, fredericBregier, CruzBishop, nmittler, jestan, veebs",netkins,6,0,https://github.com/netty/netty/pull/4648,1,4176,"Y,core","Y,core","Y,bug|Y,improve","Y, no value",NN,0,12488,0,69,8224,jza70,0,4,8224,A1WSTW4R68I8KI
175,0,323Q6SJS8J4DN07BWTHIO4M4R3BHFA,9,1,,0,asfgit,FALSE,9,4,0,https://github.com/apache/spark/graphs/contributors,"mateiz, rxin, pwendell",126,2676,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,74,10000,991,0,0,dirty,FALSE,0,9,4,451,6,vijaykiran,"mateiz, rxin, pwendell, davies, tdas, JoshRosen, srowen, ScrapCodes, ankurdave, jegonzal, holdenk, markhamstra mateiz, rxin, pwendell, JoshRosen, tdas, ankurdave, srowen, marmbrus, ScrapCodes, aarondav, andrewor14, kayousterhout, jegonzal,  holdenk, markhamstra, mengxr","thunterdb, SparkQA",7,0.02,https://github.com/apache/spark/pull/10601,3,10000,"Y,core",N,N,N,"Rej, implemented.",0,26011,0,301,10712,vijaykiran,0,16,10712,ABFSVRWVFHZ6P
73,0,3JBT3HLQF9QB5YWZGIJU054DOT6PZP,9,2,,0,chenkie,FALSE,11,3,2,https://github.com/auth0/angular2-jwt/graphs/contributors,"chenkie, escardin",44,2037,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,11,161,1037,0,0,dirty,FALSE,0,11,3,42,4,captaincodeman,"chenkie, escardin, charsleysa",kudoz83,5,0.16,https://github.com/auth0/angular2-jwt/pull/16,1,161,"Y,core","Y,others","Y,improve","Y, no value","Rej, not sure.",0,18,0,117,615,CaptainCodeman,0,1,615,AMZVZJL54O491
901,0,3WJ1OXY92B4PYYPAI91KXQIEQXE8A0,10,15,,0,jonasschnelli,TRUE,10,3,18,https://github.com/bitcoin/bitcoin/graphs/contributors,"laanwj, sipa, gavinandresen",51,2185,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,128,6862,1049,0,1,dirty,FALSE,0,10,3,516,6,jonasschnelli,"laanwj, sipa, gavinandresen, theuni, theluematt, jonasschnelli, marcofalke, luke-jr","instagibbs, pointbiz, jgarzik",6,0.11,https://github.com/bitcoin/bitcoin/pull/7273,149,6862,N,N,"Y,bug",N,"Rej, not sure.",0.72,6810,0,952,10412,jonasschnelli,1,15,10412,AMZVZJL54O491
203,0,3X3OR7WPZ0O6UHGEF0QA64YPK8NL83,10,13,11,0,squid808,FALSE,10,7,16,https://github.com/google/google-api-dotnet-client/graphs/contributors,"davidwaters, peleyal, mmdriley",247,629,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,8,162,1058,0,1,dirty,FALSE,1,10,7,110,4,squid808,"davidwatersl,aiuto,chrsmith,peleyal","mmdriley,peleyal",5,0.81,https://github.com/google/google-api-dotnet-client/pull/650,2,162,"Y,core|Y,others","Y,core|Y,others","Y,bug","Y, no value","Rej, implemented.",0.5,31671,0,450,333,squid808,0,3,333,A1WTD5OHCQS3TG
477,0,3A9AA95ATXADYKCA9UCEB1XIOOV5PK,10,32,,0,hlinnaka,FALSE,10,8,135,https://github.com/greenplum-db/gpdb/graphs/contributors,"bmomjian, tglsfdc, petere",35,1338,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1437,483,1085,0,0,dirty,FALSE,0,10,8,109,5,atris,"bmomjian, tglsfdc, petere","gpdbdreddbot, ivannovick, hlinnaka, xinzweb",5,0.54,https://github.com/greenplum-db/gpdb/pull/253,3,483,N,N,N,"Y, no value","Rej, not sure.",0,112917,0,512,1671,atris,0,3,1671,A2JR05AXGBMG81
280,0,3C2NJ6JBKB5LW2HABWXO95PB4BYN2O,11,46,,1,rkuhn,FALSE,11,29,6,https://github.com/akka/akka/graphs/contributors,"viktorklang, patriknw, rkuhn",170,1888,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1176,2006,1103,0,1,dirty,FALSE,0,11,29,525,4,lolski,"ktoso,jrudolph,patriknw,johanandren,rkuhn,bantonsson,jboner,henrikengstrom,2m,pvlugter,viktorklang,RayRoestenburg,richdougherty,drewhk",akka-ci,5,0.11,https://github.com/akka/akka/pull/19332,4,2006,"Y,core","Y,core",N,N,"Rej, not sure.",0.75,11597,0,450,6290,lolski,0,12,6290,ABFSVRWVFHZ6P
625,0,30MVJZJNHN10DWBOH7KBQLG81RK9J3,11,12,,0,asfgit,FALSE,11,4,0,https://github.com/apache/spark/graphs/contributors,"mateiz, rxin, pwendell",56,2093,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,598,10000,1110,0,0,dirty,FALSE,0,11,4,451,5,nongli,"mateiz, rxin, pwendell, davies, tdas, JoshRosen, srowen, ScrapCodes, ankurdave, jegonzal, holdenk, markhamstra","SparkQA, nongli, velvia, kiszk",7,0.02,https://github.com/apache/spark/pull/10593,26,10000,"Y,others","Y,core","Y,bug",N,Merged.,0,26011,0,681,10712,nongli,0,16,10712,ABFSVRWVFHZ6P
326,0,3KMS4QQVK3E4PQ8J2EKF1W2WJKXKFZ,12,26,,1,fiedl,FALSE,12,9,7,https://github.com/diaspora/diaspora/graphs/contributors,"jhass, maxwell, danielgrippi",11,1346,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,215,2793,1153,0,0,dirty,FALSE,0,12,9,387,5,fiedl,"jhass, maxwell, danielgrippi, sarahmei, Raven24, svbergerem, OhaiBBQ, fabianrbz, denniscollective, grzuy, Pistos, jaywink, ticho, stevenh512, manuels, DeadSuperHero","fiedl, disapora-code-review",6,0.03,https://github.com/diaspora/diaspora/pull/6612,1,2793,"Y,core","Y,core",N,N,"Rej, not sure.",0,2846,0,337,10962,fiedl,0,8,10962,ABFSVRWVFHZ6P
1463,0,37Q970SNZFWBNURJ0OEW3GPCYXM1SC,12,6,,0,asfgit,FALSE,12,5,0,https://github.com/apache/spark/graphs/contributors,"mateiz, rxin, pwendell",0,2095,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,10000,1175,0,0,dirty,FALSE,0,12,5,451,6,nogli,"mateiz, rxin, pwendell, joshrosen, davies, tdas, liancheng, zsxwing","kiszk, robbinspg, a-roberts, yjshen, SparkQA, nongli,",8,0.02,https://github.com/apache/spark/pull/10628,27,10000,"Y,core",N,N,N,"Rej, implemented.",0,26011,0,1463,10712,nongli,0,16,10712,AMZVZJL54O491
272,0,3KIBXJ1WD6IYV3LC1H35OQBAAF5OKT,12,11,,0,stefansperber,FALSE,12,18,18,https://github.com/klarna/HiveRunner/graphs/contributors,"PelleUllberg, teabot",44,1416,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,16,29,1194,0,0,dirty,FALSE,0,12,18,9,4,stefansperber,"PelleUllberg, teabot,stefansperber","stefansperber,massdosage",5,0.11,https://github.com/klarna/HiveRunner/pull/25,1,29,"Y,core","Y,others","Y,bug",N,Merged.,0,241,0,316,68,stefansperber,0,3,68,ADUKAOL850DWV
492,0,39OWYR0EPLFZ9VX06TL6A4H7GTMFYS,13,2,,0,asfgit,FALSE,13,8,5,https://github.com/apache/incubator-zeppelin/graphs/contributors,"Leemoonsoo, anthonycorbacho, bzz",424,1393,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1409,1097,1212,0,0,dirty,FALSE,0,13,8,121,6,{},"Leemoonsoo, anthonycorbacho, bzz, minahlee, corneadoug","jongyoul, ahyoungryu, leemoonsoo, felixcheung, elbamos",6,0.01,https://github.com/apache/incubator-zeppelin/pull/604,7,1097,"Y,core","Y,others",N,N,Merged.,0,4175,0,916,2175,doanduyhai,0,4,2175,AMZVZJL54O491
