HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HIT_ID,Input.pr_link,Input.contributors_url,Input.merged,Input.submitter,Input.closer,Input.cores,Input.p_num,Input.c_num,Answer.Comment,Answer.GithubID,Answer.P1_Submitter,Answer.P2_Cores,Answer.P3_External,Answer.Q1_Support?,Answer.Q1_Support_Comment,Answer.Q2_Alternate S?,Answer.Q2_Alternate_Comment,Answer.Q3_Dis_Solution?,Answer.Q3_Dis_Solution_Comment,Answer.Q4_Dis_Problem?,Answer.Q4_Dis_Problem_Comment,Answer.Q5_Outcome?,Answer.Q5_Outcome_Comment?,Approve,Reject
34OWYT6U3W52W1TO9NUAQ06NA8I9IK,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,2,BatchId:2537954;,3600,604800,Tue Oct 04 10:53:03 PDT 2016,,,323Q6SJS8J4DN07BWTHIO4M4R3BHFA,ABFSVRWVFHZ6P,Approved,Fri Sep 30 21:30:53 PDT 2016,Fri Sep 30 21:39:25 PDT 2016,Fri Oct 07 21:39:25 PDT 2016,Sat Oct 01 19:06:02 PDT 2016,,,512,100% (39/39),100% (39/39),100% (39/39),991,https://github.com/apache/spark/pull/10601,https://github.com/apache/spark/graphs/contributors,FALSE,vijaykiran,asfgit,"mateiz, rxin, pwendell",6,9,{},0pointr,vijaykiran,"mateiz, rxin, pwendell, davies, tdas, JoshRosen, srowen, ScrapCodes, ankurdave, jegonzal, holdenk, markhamstra mateiz, rxin, pwendell, JoshRosen, tdas, ankurdave, srowen, marmbrus, ScrapCodes, aarondav, andrewor14, kayousterhout, jegonzal,  holdenk, markhamstra, mengxr","thunterdb, SparkQA","Y,core","Thanks @vijaykiran , this is looking much better! I made a few comments for correction, and could you also update the PR title and description to indicate that this is for tree.py?",N,{},N,{},N,{},"Rej, implemented.",asfgit closed this in b33261f on Feb 26,,
34OWYT6U3W52W1TO9NUAQ06NA8I9IK,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,2,BatchId:2537954;,3600,604800,Tue Oct 04 10:53:03 PDT 2016,,,392CY0QWG2F3LFL6IU3KXCQS1KD4IL,AMZVZJL54O491,Approved,Mon Sep 26 04:17:21 PDT 2016,Mon Sep 26 04:19:41 PDT 2016,Mon Oct 03 04:19:41 PDT 2016,Wed Sep 28 14:46:00 PDT 2016,Tue Sep 27 10:53:02 PDT 2016,,140,80% (64/80),80% (64/80),80% (64/80),991,https://github.com/apache/spark/pull/10601,https://github.com/apache/spark/graphs/contributors,FALSE,vijaykiran,asfgit,"mateiz, rxin, pwendell",6,9,{},{},vijaykiran,"mateiz, rxin, pwendell, joshrosen, davies, tdas, liancheng, zdxwing, cloud-fan, mengxr, srowen, marmbrus, yhuai, ankurdave","mlnick,jkbradley, bryancutler","Y,core","BryanCutler commented on Jan 25
LGTM, ping @jkbradley
$$$$
