HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HIT_ID,Input.pr_link,Input.contributors_url,Input.closer,Input.cores,Input.p_num,Input.c_num,Answer.Comment,Input.submitter,Answer.P1_Submitter,Answer.P2_Cores,Answer.P3_External,Answer.Q1_Support?,Answer.Q1_Support_Comment,Answer.Q2_Alternate S?,Answer.Q2_Alternate_Comment,Answer.Q3_Dis_Solution?,Answer.Q3_Dis_Solution_Comment,Answer.Q4_Dis_Problem?,Answer.Q4_Dis_Problem_Comment,AssignmentId,Input.merged,Answer.Q5_Outcome?,Answer.Q5_Outcome_Comment?,Approve,Reject
3YZ7A3YHR5H8PSU8B9B7IM780WV5SM,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,1,BatchId:2567999;,3600,604800,Tue Nov 08 16:18:14 PST 2016,,,A2958TQAW43MP6,Approved,Wed Nov 02 02:30:43 PDT 2016,Wed Nov 02 03:21:38 PDT 2016,Wed Nov 09 02:21:38 PST 2016,2016-11-09 10:22:29 UTC,,,3055,100% (12/12),100% (12/12),100% (11/11),1117,https://github.com/SpongePowered/SpongeAPI/pull/1012,https://github.com/SpongePowered/SpongeAPI/graphs/contributors,liach,"gabizou, Zidane, Minecrell",5,11,{},liach,liach,"gabizou, Zidane, Minecrell, zml2008,","kashike, liach, Tzky,","Y,others",But it would be a good idea to add @Deprecated to getMutexBits(). :+1:,"Y,core|Y,others","This appears to be breaking, so this should be targeted to the bleeding branch, not the master branch.
$$$$
The documentation on our all new branching model is still in the works. However master is only used for non-breaking changes (minor changes: 3.0.0 -> 3.1.0). Everything else will automatically target our 4.0.0 release which will contain breaking changes that were merged into bleeding.
Corresponding Docs PR:
SpongePowered/SpongeDocs#410
$$$$
@liach
Lets keep the mutex stuff to a separate PR as its muddying this one.","Y,bug","You implement canRunConcurrentWith and check the task being passed in. There is no reason to have the mutex bits or use them besides....
public boolean canRunConcurrentWith(AITask task) {
    return allowedConcurrentTaskTypeSet.contains(task.getTaskType());
}","Y, no value","@Zidane How would I check that my HeadShakerAITask (LOOK) can run at the same time as RandomStrollAITask (MOVEMENT) or PluginYFollowPlayerAITask (MOVEMENT), but not at the same time as PluginYRandomLookAroundAITask (LOOK), if we don't have that method?",3IRIK4HM3B8QNZ3K980DJ7CBWWYC63,FALSE,NN,liach closed this on 8 Jan,,
3M4KL7H8KVB4ECVS396SERYZ6RT16E,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:38 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 07:22:04 PST 2016,Wed Nov 09 07:26:55 PST 2016,Wed Nov 16 07:26:55 PST 2016,,,,291,98% (39/40),0% (0/1),0% (0/1),1181,https://github.com/appc/cni/pull/94,https://github.com/appc/cni/graphs/contributors,ChengTiesheng,"steveeJ, eyakubovich",4,12,{},ChengTiesheng,ChengTiesheng,"steveeJ, jonboulle, dcbw, squaremo, eyakubovich, philips, tomdee, rosenhouse, zachgersh",ChengTiesheng,"Y,core","Thanks! I've commented on a handful of things -- typos and a moderate misunderstanding of a type. I think we'll be good to go once those are fixed up.
$$$$
Thanks @ChengTiesheng for your hard work. Your PR has collected quite an amount of commits, please squash them before we can merge this.",N,{},"Y,improve","took a first pass...
overall, I highly approve of documenting a lot of these things, but I'm not 100% sold on mandating golint everywhere, seems like some silly false positives..",N,{},3N4BPTXIO9GT8859X3FENW307M0UK6,FALSE,NN,"Please refer to the new PR:
Fix golint warnings. #136
$$$$
 ChengTiesheng closed this on Feb 26",,
3ZTE0JGGCEGEQLBUJ2H6CN3HVODOCF,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:48 PDT 2016,,,A38NFX88VZDMJ3,Approved,Tue Oct 25 18:47:08 PDT 2016,Tue Oct 25 18:57:35 PDT 2016,Tue Nov 01 18:57:35 PDT 2016,Tue Nov 01 17:51:57 PDT 2016,,,627,100% (7/7),100% (7/7),0% (0/0),1202,https://github.com/scummvm/scummvm/pull/645,https://github.com/scummvm/scummvm/graphs/contributors,csnover,"fingolfin, dreammaster, sev-",3,13,{},csnover,csnover,"fingolfin, dreammaster, sev-, csnover, bluegr, Strangerke, ordhoto, m-kiewitz, eriktorbjorn, aquadran, clone2727, DrMcCoy",na,N,{},"Y,core","I think hardcoding the path to something relative to the project files would be best, i.e. that you can easily drop the libraries next to the project files.","Y,improve","PR #630 implements proper support for iOS targets AFAIK. So, there might be some duplicate effort here","Y,not fit.","PR #630 implements proper support for iOS targets AFAIK. So, there might be some duplicate effort here.",3DR23U6WE62BMVYA1CE1K54SZUPET2,FALSE,NN,"csnover closed this on Feb 12
It‰Ûªs not ready and I‰Ûªm not working on this right now. I will reopen this later when it is ready.",,
3W0KKJIARRXTOR024Y983KQPLSJ8KA,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:38 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 07:03:40 PST 2016,Wed Nov 09 07:10:00 PST 2016,Wed Nov 16 07:10:00 PST 2016,,,,380,98% (39/40),0% (0/1),0% (0/1),1206,https://github.com/libuv/libuv/pull/672,https://github.com/libuv/libuv/graphs/contributors,saghul,"bnoordhuis, piscisaureus, saghul",3,13,{},cjihrig,cjihrig,"bnoordhuis, piscisaureus, saghul, ry, indutny","sam-github, cjihrig",N,{},N,{},"Y,improve",One big drawback is that getenv() is inherently MT-unsafe. Another is that trusting the environment in setuid root programs is not necessarily wise.,N,{},3VFJCI1K40NWQUH93IZUKTONT69RGQ,FALSE,NY,"Landed in c0fa2e7, great work Colin! :tada:",,
3P520RYKCHUO45MC0E67XNPWLTG5U2,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:48 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:39 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 06:43:53 PST 2016,Mon Nov 07 06:57:28 PST 2016,Mon Nov 14 06:57:28 PST 2016,,,,815,98% (39/40),0% (0/1),0% (0/1),1209,https://github.com/dronekit/dronekit-python/pull/509,https://github.com/dronekit/dronekit-python/graphs/contributors,peterbarker,"tcr3dr, hamishwillee, geeksville",4,13,{},squilter,squilter,"hamishwillee, peterbarker, krufab, geeksville, mrpollo, tcr3dr",squilter,"Y,core","@squilter Thanks for this! I've added some comments ...
I don't ""know"" the answer to:
tried putting this into the vehicle.init() method, but it didn't work for some reason. @tcr3dr do you know where is the best place to put this?
But I'd suggest trying in Vehicle.initialize since we set up the data stream there.
Could you create a test class for this here?
For extra kudos, it would also be cool if you could update vehicle state example. If you don't, then I will when I actually test this in anger.","Y,core","I think you'd be best off linking to http://mavlink.org/messages/common#MAV_AUTOPILOT_GENERIC rather than referring to mavutil.mavlink.FIRMWARE_VERSION_TYPE (this is the first value of the enum - would be better to link to the table, but it doesn't have an id to link to)
ie
... is of the enum `FIRMWARE_VERSION_TYPE <http://mavlink.org/messages/common#MAV_AUTOPILOT_GENERIC>`_.
$$$$
Having this documentation is certainly an improvement. Personally I'd still like these as individual attributes both for consistency, and because then we could link to them in the documentation and have clear separate descriptions of what each capability means. Thoughts?
$$$$
@squilter I've reviewed and added some notes. Thank you for adding some documentation. I would prefer that all public items were exposed as attributes (or functions) and individually documented. This is primarily for consistency, because even if it results in some more code, it ensures all the code looks the same and is documented in the same way. That is comforting for developers!
@mrpollo and @tcr3dr might take a different view. @mrpollo Can you do a technical review on the contribution? I have not done ""full testing"" yet.
$$$$
@squilter What you should do in this case is copy the model of SystemStatus
So for each public item you'd create an attribute in your description:
    .. py:attribute:: major
        Major version number (integer).
This allows me to link to the variable. You should also create documentation in your public methods - again creating linkable objects: eg.
def is_stable(self):
   """"""
    Your description here.
    """"""
   return self.release == 255
FYI, you were absolutely right be confused. We have been inconsistent - using param in many cases rather than attribute definition. I will change these in a future update.
YOu also don't need to create variables as python attributes as I suggested in previous notes, since we haven't mostly done this for helper classes. Apologies for the incorrect suggestion.
